t,x_odom,y_odom,yaw_odom,x_gt,y_gt,yaw_gt
32.198,7.8996748656139e-05,3.5469044621534456e-05,0.8639296127294456,-0.024527007707559327,0.021602396533914554,0.858416711460257
32.231,7.994333079271863e-05,3.658009346770852e-05,0.8663488457486734,-0.024685249371244018,0.021706412069101164,0.8613475431935743
32.264,8.09142452037669e-05,3.7725265629364494e-05,0.8687676195657756,-0.02476445072714072,0.02175824917645645,0.8628132914707808
32.298,8.191109790463847e-05,3.890699824107289e-05,0.8711841264546537,-0.024919459807228518,0.021859475890615977,0.8656855441731149
32.332,8.292080342718566e-05,4.010960885428134e-05,0.8735284122464229,-0.025073132250977688,0.021959090786905836,0.868525129207098
32.364,8.395382106358354e-05,4.1345823913713606e-05,0.8758722582760398,-0.025150020949723087,0.02200873654203608,0.8699452158800659
32.398,8.501582114507441e-05,4.262297337169684e-05,0.8782138513235603,-0.02530054197514663,0.022105700144745246,0.8727283111951704
32.431,8.609068380432798e-05,4.392151747543085e-05,0.8804854253629892,-0.02537532684542973,0.022153470715013366,0.8741041301098633
32.464,8.718779572294845e-05,4.5253055051453395e-05,0.8827565766336621,-0.025524322709736407,0.022248670006181807,0.8768552388636498
32.498,8.831724041146061e-05,4.6630370952986975e-05,0.8850254833578207,-0.025670420004119225,0.02234156135040898,0.8795517822511936
32.531,8.945909809927425e-05,4.8029033954799974e-05,0.8872265075086936,-0.02581514631233798,0.0224329689371469,0.8822171232141776
32.566,9.062218371062964e-05,4.9460087754360925e-05,0.8894271192783647,-0.025887523159717894,0.022478525631270296,0.8835499589203708
32.598,9.182108795359772e-05,5.0942034780531856e-05,0.8916254879157481,-0.02602925895963526,0.022567526026797527,0.8861624636157217
32.631,9.303200939530186e-05,5.244532799439213e-05,0.8937580359735412,-0.02616960374784627,0.022655104342495024,0.8887445304634218
32.663,9.426313211520016e-05,5.398036315888378e-05,0.8958901779171644,-0.026239780024211103,0.02269875339170901,0.8900356761621326
32.698,9.55377459597832e-05,5.557676071259578e-05,0.8980199915917451,-0.026377220933376685,0.022784035980097053,0.8925665935658597
32.731,9.681890131221363e-05,5.718812238514718e-05,0.9000860655098979,-0.02651326350163051,0.0228679585391745,0.8950679097716331
32.764,9.81202518060513e-05,5.883181441391879e-05,0.9021517180494099,-0.02658126766781255,0.022909784360957267,0.8963185715255001
32.798,9.946354906378742e-05,6.0535868706093594e-05,0.9042151498526528,-0.02671449643648165,0.02299151709439819,0.8987703671052986
32.831,0.00010082378829067627,6.22685079539712e-05,0.9062165193098304,-0.02684646024995665,0.023071968442664858,0.9011939668362162
32.864,0.00010220081277303016,6.402975213285631e-05,0.9082175015982832,-0.02691241415588607,0.023112064103623015,0.9024056889618067
32.898,0.00010359467445054543,6.582003354443888e-05,0.9102168793632327,-0.027041620089114527,0.023190427863447792,0.9047813783288642
32.931,0.0001049971669965595,6.762862042801046e-05,0.9121562120252623,-0.027169587279893676,0.023267562851710194,0.9071295749871462
32.964,0.0001064155544479613,6.946502464759343e-05,0.9140951710126335,-0.027233535052335976,0.023306006498107355,0.9083035595835846
32.999,0.00010785345165224376,7.133427339069746e-05,0.9160325561075893,-0.0273588410314545,0.023381156349693726,0.9106055788138381
33.03,0.00010928319261284176,7.320018798152895e-05,0.9179120237340745,-0.02748312450212994,0.023455173423951446,0.912882213765957
33.064,0.00011072789042431288,7.509295839612061e-05,0.9197911254856797,-0.027545218404143104,0.02349206228837092,0.9140203316433834
33.098,0.00011219221636182642,7.701903415408741e-05,0.9216687213077315,-0.027666864857759668,0.02356417247547923,0.9162518893137674
33.132,0.00011364625249506343,7.89388542985471e-05,0.923490212296793,-0.027727365124514448,0.02359973835853965,0.9173558732586754
33.164,0.00011511530630071351,8.088584005481421e-05,0.925311343682831,-0.027847822627551158,0.023670610884200118,0.9195623958977978
33.198,0.00011660568858550735,8.28686831473723e-05,0.927130983852639,-0.027965920797868877,0.023739821602588126,0.9217257997956221
33.231,0.00011807932019514963,8.483649722762473e-05,0.9288963269854422,-0.028083059058013532,0.02380800583267583,0.9238655657076937
33.26,0.00011956532596626507,8.682813568707407e-05,0.9306613436330899,-0.028141564258545016,0.02384199040220935,0.9249352292268591
33.297,0.00012107228533820907,8.885539822490225e-05,0.9324249789528658,-0.028256200881995923,0.023908431730110036,0.9270326093960514
